episode,step,ball_x,ball_y,ball_controller,ball_controller_team,last_goal,reward_p0,actions
1,1,50.0,37.5,-1,,,-0.004333333333333357,"[{""move_vx"": -5.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.926683448283221, ""move_vy"": 0.3975214507994843, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.8183766184073566, ""move_vy"": 3.8183766184073566, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.215563514725617, ""move_vy"": -2.5373011693259757, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.709770604016586, ""move_vy"": 1.2776779161984622, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.891300229798691, ""move_vy"": -1.1369175882067646, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.9999999230769291, 0.0]}, {""move_vx"": 4.313351365237939, ""move_vy"": 4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.242640687119285, ""move_vy"": -4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.596084386082537, ""move_vy"": -4.308829111952378, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [-0.920967185823896, -0.3896399632331868]}, {""move_vx"": -0.0, ""move_vy"": -5.8, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": -5.4, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.8183766184073566, ""move_vy"": -3.8183766184073566, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 5.8, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.154191881389162, ""move_vy"": 1.610684962934113, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.5999999999999996, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -8.145117092216875, ""move_vy"": 1.6968993942118489, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.00400476561199, ""move_vy"": -2.7294571448792677, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.015745628682943, ""move_vy"": -1.0279570946046113, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,2,50.0,37.5,-1,,,-0.004933334571627242,"[{""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.8, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.58683569091862, ""move_vy"": 0.9675572141624948, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.508049946468682, ""move_vy"": -1.345468612493939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.795720655623845, ""move_vy"": -0.22276014449426293, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [-0.9999999219934838, 0.00019635400830364313]}, {""move_vx"": -4.242640687119285, ""move_vy"": -4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.307509809445339, ""move_vy"": -0.995158089271001, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.1, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [-0.9995486548472817, 0.03003658522579158]}, {""move_vx"": 4.596084386082539, ""move_vy"": -4.308829111952377, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [-0.9116588229755543, -0.4109477463566729]}, {""move_vx"": -4.1012193308819755, ""move_vy"": 4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.577255160175973, ""move_vy"": 1.021334851207225, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [-0.9960949708538408, -0.08828807772871464]}, {""move_vx"": 4.1012193308819755, ""move_vy"": -4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.242640687119285, ""move_vy"": -4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.9639845500892059, -0.2659580726705623]}, {""move_vx"": 4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.525483399593904, ""move_vy"": 4.525483399593904, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.242640687119285, ""move_vy"": -4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.106898204630317, ""move_vy"": -6.568256292772356, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,3,50.0,37.5,-1,,,-0.005278690974655505,"[{""move_vx"": 4.913004897233472, ""move_vy"": 0.9286457234919656, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.1012193308819755, ""move_vy"": 4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.904888502403406, ""move_vy"": 1.5029866196978858, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.8183766184073566, ""move_vy"": 3.8183766184073566, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.31651821127817625, -0.9485863477289234]}, {""move_vx"": 6.1, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.34268484486576, ""move_vy"": 0.7846774168037006, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.770628096890285, ""move_vy"": -0.530195776257198, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 7.295614496711408, ""move_vy"": -2.216897407498678, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.761800442793605, ""move_vy"": 4.317598366849723, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 7.148136571280604, ""move_vy"": -0.8626375590714601, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.8506584614556513, -0.5257185562812794]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9775556570018373, 0.21067727343289788]}, {""move_vx"": -4.83477718218437, ""move_vy"": 0.49449934138416146, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.8183766184073566, ""move_vy"": -3.8183766184073566, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.510240238566757, ""move_vy"": -1.0896481039369013, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": -6.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9999999845583697, 0.0]}, {""move_vx"": -5.752922986937598, ""move_vy"": -4.811847577216571, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.4, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9999634595404475, 0.008546508610079696]}, {""move_vx"": -5.595550032130614, ""move_vy"": -3.1064159151541664, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,4,50.0,37.5,-1,,,-0.005578685744496582,"[{""move_vx"": 5.249995081475192, ""move_vy"": -0.0071864098333219335, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.811394063285764, ""move_vy"": 1.4305631459797408, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": -5.4, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.4, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.1012193308819755, ""move_vy"": 4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": -6.1, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.597808662307717, ""move_vy"": -2.8904217997020267, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.313351365237939, ""move_vy"": -4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.856062137703075, ""move_vy"": -1.3063446097261207, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.411317056885052, ""move_vy"": 2.559351836624852, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.1012193308819755, ""move_vy"": -4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.7984423633127635, ""move_vy"": -1.2890563057290818, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.1012193308819755, ""move_vy"": -4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.755862030209944, ""move_vy"": 3.4501449839140426, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [0.9444283388239507, -0.32871720166032925]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.9447554990730542, -0.3277744294406834]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [0.9731659603703013, -0.2301033438634329]}, {""move_vx"": -5.634924754804981, ""move_vy"": 2.060976226860956, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.525483399593904, ""move_vy"": -4.525483399593904, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,5,50.0,37.5,-1,,,-0.005878683466263368,"[{""move_vx"": 5.249998906018566, ""move_vy"": -0.0033892187690005163, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.342488428557006, ""move_vy"": 2.923340108631647, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.842529094187353, ""move_vy"": 1.0716593598594326, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.140855157091169, ""move_vy"": -0.7953797094305398, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.52585082199861, ""move_vy"": -3.142733577160894, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.313351365237939, ""move_vy"": 4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -1.0755755143275585, ""move_vy"": 4.985292099062904, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.664057931318708, ""move_vy"": -3.4409783329786063, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.1, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [0.9952293878962595, 0.09756244416847727]}, {""move_vx"": 5.076738658849482, ""move_vy"": -5.105558205499487, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.535068093479977, ""move_vy"": 0.9812020115653419, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.891716473628874, ""move_vy"": 1.54531871846163, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.8, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [-0.985644934459183, 0.1688301485177076]}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [-0.9820585470677339, -0.18857619114603605]}, {""move_vx"": -5.4476207275197135, ""move_vy"": 1.8711035270923932, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [-0.9999816066948265, 0.006062115232506339]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [0.9879908673494198, 0.15451126114649644]}]"
1,6,50.0,37.5,-1,,,-0.006414483699761519,"[{""move_vx"": 3.486840241547257, ""move_vy"": -2.429906403532175, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.8, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.186834051374919, ""move_vy"": 0.5845414690142356, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.1408551570911696, ""move_vy"": -0.7953797094305397, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 2.9389587946517395, ""move_vy"": -1.8635775281268, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 2.338836276931959, ""move_vy"": 2.8152166647892396, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.313351365237939, ""move_vy"": 4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.9952772985452992, 0.09706905078252213]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9999999894618521, 0.0]}, {""move_vx"": -4.1012193308819755, ""move_vy"": -4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": -5.4, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9964395411952967, -0.08431023668738472]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.2133572152118781, -0.9769741766112295]}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.242640687119285, ""move_vy"": -4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.271896724891746, ""move_vy"": -3.7737114849785707, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -8.15853617434938, ""move_vy"": 1.631161393557547, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.36885541864587, ""move_vy"": 0.6306192642039643, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,7,50.0,37.5,-1,,,-0.007143245499031153,"[{""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 6.814774053869376, ""move_vy"": 1.414374276741746, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.587284548913391, ""move_vy"": 0.15786217818232595, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.4, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.28381305017738345, -0.9588795458701664]}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [0.9655975582148091, 0.2600410075107584]}, {""move_vx"": -4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.575098490994087, ""move_vy"": -2.9339865057146146, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 2.14703886341497, ""move_vy"": -2.9640890875589, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.469104845059799, ""move_vy"": 2.4675680727678886, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.881858697114427, ""move_vy"": 1.1847946097021946, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.9999934179881773, ""move_vy"": 0.007256448942788756, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.998382940963992, ""move_vy"": 3.5300144608134616, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.320165901016677, ""move_vy"": 1.5505697622786148, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.82390700508525, ""move_vy"": -0.5912031852835874, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -2.9745805518201367, ""move_vy"": -1.8061756671856168, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -7.498486578640984, ""move_vy"": 0.15066197244501858, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.128728467732066, ""move_vy"": 6.551224641567002, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.662084234614196, ""move_vy"": -1.98514536498801, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.525483399593904, ""move_vy"": 4.525483399593904, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,8,50.0,37.5,-1,,,-0.008005195939275709,"[{""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [0.870625833907789, 0.49194565874445]}, {""move_vx"": 6.814774053869376, ""move_vy"": 1.4143742767417462, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [0.9976399938243165, 0.06866161933525577]}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [0.9954039612189056, -0.09576496998696384]}, {""move_vx"": 5.199474922964791, ""move_vy"": -2.5701090493323964, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.71069301539464, ""move_vy"": 1.2742728572453188, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.575098490994087, ""move_vy"": -2.933986505714616, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [-0.9997013851661898, -0.02443387656221205]}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [0.9954468284909358, 0.09531829026413038]}, {""move_vx"": 4.888838082174009, ""move_vy"": -5.285760324332268, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.4, ""kick_dir"": [-0.9228475719715319, -0.3851651949229302]}, {""move_vx"": -5.799105917233316, ""move_vy"": 0.10183594998595462, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -3.8183766184073566, ""move_vy"": -3.8183766184073566, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [-0.9964693689512032, -0.08395696414243761]}, {""move_vx"": -0.0, ""move_vy"": 5.8, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [0.9523283756940072, -0.3050746721251487]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [-0.9823971765437037, -0.1868040602385471]}, {""move_vx"": -2.3671054466455685, ""move_vy"": 3.0236421422616933, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.525483399593904, ""move_vy"": 4.525483399593904, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,9,50.0,37.5,-1,,,-0.009001912335018375,"[{""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.541840382758546, ""move_vy"": 0.949360804722682, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [0.9976700756972516, 0.0682231282229883]}, {""move_vx"": 5.124587289731746, ""move_vy"": -1.702529033502757, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.1012193308819755, ""move_vy"": 4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.313351365237939, ""move_vy"": -4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.359810531139661, ""move_vy"": 0.6575949135177308, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.851412024610207, ""move_vy"": 1.5728322756948665, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 3.757318010976199, ""move_vy"": -5.187155903228075, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.091456294495981, ""move_vy"": -0.29508100792365893, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [0.9934695532448095, -0.11409737620978325]}, {""move_vx"": 5.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -2.9894692053693643, ""move_vy"": 1.781424674284114, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.923064471264744, ""move_vy"": 0.4482268055809688, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.350301939791617, ""move_vy"": 0.7309371744972833, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.1012193308819755, ""move_vy"": -4.1012193308819755, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -4.132647424437377, ""move_vy"": 3.925713344768197, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -7.4999309591872425, ""move_vy"": 0.03218085494085652, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.785271109988466, ""move_vy"": 1.7638538499291128, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.9883518556020235, -0.15218536047268733]}, {""move_vx"": -4.751783444867778, ""move_vy"": 3.1481032532432143, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.410689442507412, ""move_vy"": -1.9753581337921604, ""kick_power"": 0.0, ""kick_dir"": null}]"
1,10,50.0,37.5,-1,,,-0.010000785297073591,"[{""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.7, ""kick_dir"": [0.9999998916570199, -0.0004423045980163736]}, {""move_vx"": 4.540597660757039, ""move_vy"": 0.955286806738007, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.8901207743133694, ""move_vy"": 1.5503608652919523, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.4, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 1.0, ""kick_dir"": [0.9720450794273763, -0.23479424832882193]}, {""move_vx"": 3.792717077263528, ""move_vy"": 4.381474885450514, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 4.242640687119285, ""move_vy"": 4.242640687119285, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 0.0, ""move_vy"": 0.0, ""kick_power"": 0.9, ""kick_dir"": [-0.9992848211011803, 0.037811776066174904]}, {""move_vx"": -4.313351365237939, ""move_vy"": -4.313351365237939, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": 5.470210977166731, ""move_vy"": 2.46511498013472, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -6.0, ""move_vy"": 0.0, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.8746185125858237, -0.4848116109050146]}, {""move_vx"": -5.799262284636919, ""move_vy"": 0.09250380526108606, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.154814465760359, ""move_vy"": 1.608691338817903, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.9473533785454862, -0.32018975817170703]}, {""move_vx"": -4.519906020423567, ""move_vy"": -1.0488324778241733, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [-0.4087133436858413, 0.9126618893564471]}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.9646871530563219, -0.263398189180665]}, {""move_vx"": -5.155162443838994, ""move_vy"": -1.6075758699457943, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -5.466652490347496, ""move_vy"": 1.8147480678533687, ""kick_power"": 0.0, ""kick_dir"": null}, {""move_vx"": -0.0, ""move_vy"": 0.0, ""kick_power"": 0.65, ""kick_dir"": [0.9999987673487643, -0.0015227319309254672]}, {""move_vx"": -2.1051708798914865, ""move_vy"": -3.2115191991418808, ""kick_power"": 0.0, ""kick_dir"": null}]"
