category,window,episode,entity,team,role,possession_pct,dribbles,tackles,blocks,passes,passes_completed,pass_accuracy,shots_on,shots_off,goals,clears,saves,goals_for,goals_against
team,,1,A,A,,20.098039215686082,,,,7,3,42.857142857142854,,,1,,,1,0
team,,1,B,B,,15.68627450980378,,,,6,1,16.666666666666664,,,0,,,0,1
player,,1,p0,A,Goalkeeper,,0,0,0,0,0,0.0,1,1,0,0,0,,
player,,1,p1,A,Left Fullback,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p2,A,Center Back,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p3,A,Center Back,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p4,A,Right Fullback,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p5,A,Left Midfielder,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p6,A,Central Midfielder,,1,0,0,4,2,50.0,4,1,1,0,0,,
player,,1,p7,A,Central Midfielder,,0,0,0,0,0,0.0,1,0,0,0,0,,
player,,1,p8,A,Right Midfielder,,1,0,2,1,0,0.0,1,2,0,0,0,,
player,,1,p9,A,Striker,,0,0,0,1,1,100.0,0,2,0,0,0,,
player,,1,p10,A,Striker,,0,0,0,1,0,0.0,2,1,0,0,0,,
player,,1,p11,B,Goalkeeper,,0,0,0,0,0,0.0,1,1,0,0,0,,
player,,1,p12,B,Right Fullback,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p13,B,Center Back,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p14,B,Center Back,,0,0,0,0,0,0.0,2,0,0,0,0,,
player,,1,p15,B,Left Fullback,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p16,B,Central Midfielder,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p17,B,Central Midfielder,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p18,B,Central Midfielder,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,1,p19,B,Right Winger,,0,0,0,2,0,0.0,2,3,0,0,0,,
player,,1,p20,B,Striker,,1,0,0,4,1,25.0,2,0,0,1,0,,
player,,1,p21,B,Left Winger,,0,0,0,0,0,0.0,0,0,0,0,0,,
