category,window,episode,entity,team,role,scenario,scenario_variant,possession_pct,dribbles,tackles,blocks,passes,passes_completed,pass_accuracy,shots_on,shots_off,goals,clears,saves,goals_for,goals_against
team,,9,A,A,,counter_attack_left,31,6.231884057970937,,,,4,0,0.0,,,1,,,1,0
team,,9,B,B,,counter_attack_left,31,11.449275362318692,,,,9,8,88.88888888888889,,,0,,,0,1
player,,9,p0,A,Goalkeeper,counter_attack_left,31,,0,0,0,0,0,0.0,0,1,0,0,0,,
player,,9,p1,A,Left Fullback,counter_attack_left,31,,1,0,1,0,0,0.0,2,0,0,0,0,,
player,,9,p2,A,Center Back,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p3,A,Center Back,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p4,A,Right Fullback,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p5,A,Left Midfielder,counter_attack_left,31,,0,0,0,3,0,0.0,1,0,0,0,0,,
player,,9,p6,A,Central Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p7,A,Central Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p8,A,Right Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p9,A,Striker,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p10,A,Striker,counter_attack_left,31,,0,0,0,1,0,0.0,1,0,1,0,0,,
player,,9,p11,B,Goalkeeper,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p12,B,Right Fullback,counter_attack_left,31,,0,0,0,0,0,0.0,1,0,0,0,0,,
player,,9,p13,B,Center Back,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p14,B,Center Back,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p15,B,Left Fullback,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p16,B,Central Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p17,B,Central Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p18,B,Central Midfielder,counter_attack_left,31,,0,0,0,0,0,0.0,2,1,0,0,0,,
player,,9,p19,B,Right Winger,counter_attack_left,31,,0,0,0,0,0,0.0,0,0,0,0,0,,
player,,9,p20,B,Striker,counter_attack_left,31,,1,0,0,1,1,100.0,0,0,0,0,0,,
player,,9,p21,B,Left Winger,counter_attack_left,31,,1,0,0,8,7,87.5,1,0,0,0,0,,
